player_name,team,season,Primary_Position,minutes_played,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_misc_Fld,Performance_misc_Off,Gls90,Ast90,G_minus_PK90,G_plus_A_minus_PK90,Fld90,Off90,Crosses90,PCA_raw,Offensive_Score,Rank
Rubén García,Osasuna,2025-2026,MF,2229,2,5,7,2,27,1,0.08075370121130553,0.2018842530282638,0.08075370121130553,0.28263795423956933,1.0901749663526246,0.04037685060565276,6.218034993270525,0.4042163088335213,68.81720430107528,59
Nicolás González,Atlético Madrid,2025-2026,MF,1448,5,0,5,5,25,2,0.31077348066298344,0.0,0.31077348066298344,0.31077348066298344,1.5538674033149171,0.12430939226519337,1.6781767955801106,0.395432613691167,68.27956989247312,60
Germán Valera,Elche,2025-2026,MF,2857,4,5,9,4,70,4,0.12600630031501575,0.1575078753937697,0.12600630031501575,0.28351417570878545,2.2051102555127757,0.12600630031501575,3.2761638081904096,0.38721488066747217,67.74193548387096,61
Olasagasti,Levante,2025-2026,MF,1734,1,5,6,1,33,0,0.051903114186851215,0.2595155709342561,0.051903114186851215,0.31141868512110726,1.71280276816609,0.0,5.501730103806229,0.37715083727168286,67.20430107526882,62
Tyrhys Dolan,Espanyol,2025-2026,MF,2415,2,5,7,2,46,5,0.07453416149068323,0.1863354037267081,0.07453416149068323,0.2608695652173913,1.7142857142857144,0.1863354037267081,3.9130434782608696,0.36009920342380836,66.66666666666666,63
Conor Gallagher,Atlético Madrid,2025-2026,MF,679,2,0,2,2,9,2,0.2650957290132548,0.0,0.2650957290132548,0.2650957290132548,1.1929307805596465,0.2650957290132548,1.4580265095729013,0.34891998926626244,66.12903225806451,64
Isaac Palazón Camacho,Rayo Vallecano,2025-2026,MF,2248,3,3,6,1,51,6,0.1201067615658363,0.1201067615658363,0.0400355871886121,0.1601423487544484,2.0418149466192173,0.2402135231316726,4.2037366548042705,0.3322966939381041,65.59139784946237,65
Martim Neto,Elche,2025-2026,MF,1347,2,5,7,2,11,0,0.13363028953229397,0.33407572383073497,0.13363028953229397,0.46770601336302897,0.734966592427617,0.0,2.2048997772828507,0.3124612424983423,65.05376344086021,66
Thomas Lemar,Girona,2025-2026,MF,1258,3,1,4,3,20,0,0.21462639109697934,0.07154213036565978,0.21462639109697934,0.2861685214626391,1.4308426073131955,0.0,4.006359300476947,0.2818636327241285,64.51612903225806,67
Pedri,Barcelona,2025-2026,MF,2104,2,9,11,2,43,1,0.0855513307984791,0.38498098859315594,0.0855513307984791,0.47053231939163503,1.8393536121673004,0.04277566539923955,0.5133079847908746,0.2676537146702616,63.97849462365591,68
Djibril Sow,Sevilla,2025-2026,MF,2187,5,4,9,5,29,3,0.205761316872428,0.1646090534979424,0.205761316872428,0.37037037037037035,1.1934156378600822,0.12345679012345678,0.9053497942386831,0.24232259182271026,63.44086021505376,69
Thiago Almada,Atlético Madrid,2025-2026,MF,1311,3,1,4,3,16,2,0.20594965675057209,0.06864988558352403,0.20594965675057209,0.2745995423340961,1.0983981693363845,0.13729977116704806,2.745995423340961,0.23776824246089828,62.903225806451616,70
Diego López,Valencia,2025-2026,MF,1762,4,1,5,4,33,3,0.2043132803632236,0.0510783200908059,0.2043132803632236,0.2553916004540295,1.6855845629965946,0.1532349602724177,2.0942111237230416,0.21285876523493436,62.365591397849464,71
Bryan Gil,Girona,2025-2026,MF,1578,0,3,3,0,37,6,0.0,0.17110266159695817,0.0,0.17110266159695817,2.110266159695817,0.34220532319391633,2.965779467680608,0.1939262826436461,61.82795698924731,72
Pablo Martínez,Levante,2025-2026,MF,1857,1,5,6,1,12,3,0.048465266558966075,0.24232633279483037,0.048465266558966075,0.29079159935379645,0.5815831987075929,0.14539579967689822,4.216478190630048,0.19218917541795924,61.29032258064516,73
Thiago Pinar,Real Madrid,2025-2026,MF,592,0,2,2,0,7,3,0.0,0.30405405405405406,0.0,0.30405405405405406,1.0641891891891893,0.4560810810810811,0.030285035629453685,0.17940502141896972,60.752688172043015,74
