player_name,team,league,season,position_group,age,minutes_played,matches_played,contract_years_left,age_squared,assists_p90,crosses_p90,foot,fouls_committed_p90,fouls_drawn_p90,goals_p90,height_cm,interceptions_p90,penalties_scored,starts_ratio,tackles_p90,team_points,team_position,xa_p90,xg_p90,yellow_cards_p90,market_value_eur,pred_general_eur,residuo_general,pred_scouting_eur,residuo_scouting
Miro Muheim,Hamburger SV,GER,2025-2026,Centrocampista,27.0,2435,29.0,0.999315537303217,729.0,0.14784394250513347,5.470225872689939,left,1.4414784394250513,1.8480492813141682,0.0,182.0,0.997946611909651,0.0,0.9310344827586207,1.2936344969199178,38,13,0.12908623602386618,0.05065587154557084,0.2587268993839836,5000000.0,4278987.025208788,1.1685008555864997,5421823.599284746,0.9221989444030615
Osame Sahraoui,Lille,FRA,2025-2026,Centrocampista,24.0,505,18.0,3.0006844626967832,576.0,0.3564356435643564,0.5346534653465347,right,0.7128712871287128,4.455445544554456,0.1782178217821782,170.0,0.7128712871287128,0.0,0.2222222222222222,0.5346534653465347,61,3,0.1437518522143364,0.2277661062555738,0.0,9000000.0,10706718.85841598,0.8405936607670967,9755161.31154799,0.9225885367314178
Mario Pašalić,Atalanta,ITA,2025-2026,Centrocampista,30.0,1936,33.0,2.001368925393566,900.0,0.1859504132231405,0.5113636363636364,right,1.0227272727272727,0.27892561983471076,0.13946280991735538,188.0,0.6043388429752067,0.0,0.6363636363636364,0.8367768595041323,59,7,0.29051548222172235,0.1605614136003943,0.13946280991735538,6000000.0,6231021.03856247,0.9629240477390897,6503059.725980295,0.9226426102207662
Lilian Brassier,Rennes,FRA,2025-2026,Defensa,25.0,2250,27.0,4.999315537303217,625.0,0.04,0.92,left,1.08,0.8400000000000001,0.0,186.0,1.5199999999999998,0.0,0.9259259259259259,0.52,59,6,0.03631892681121826,0.035788911394774914,0.08,12000000.0,17084811.698115867,0.7023782416825451,12980640.674539132,0.9244535998548509
Akor Adams,Sevilla,ESP,2025-2026,Delantero,25.0,2064,32.0,4.0,625.0,0.1308139534883721,0.741279069767442,right,1.569767441860465,0.5232558139534884,0.436046511627907,190.0,0.0436046511627907,3.0,0.65625,0.1744186046511628,43,15,0.05014060057028261,0.4381108363456807,0.1308139534883721,15000000.0,11854271.176132865,1.265366700080278,16223243.275958328,0.9245993384213694
Archie Gray,Tottenham,ENG,2025-2026,Centrocampista,19.0,1478,24.0,4.0,361.0,0.12178619756427606,0.7307171853856562,right,0.7307171853856562,0.12178619756427606,0.12178619756427606,187.0,1.0351826792963463,0.0,0.75,0.4871447902571042,41,17,0.10098649474952234,0.09673109659307581,0.3044654939106901,35000000.0,36282454.87868236,0.9646535802781122,37836492.73161141,0.925032884212294
Álvaro Fidalgo,Real Betis,ESP,2025-2026,Centrocampista,28.0,542,9.0,4.0,784.0,0.0,0.9963099630996309,right,0.33210332103321033,0.9963099630996309,0.16605166051660517,175.0,0.6642066420664207,0.0,0.8888888888888888,0.8302583025830258,60,5,0.03260260255409343,0.08743613408500418,0.0,6000000.0,6865683.398991021,0.8739115469381763,6479934.580684526,0.9259352737734234
Davide Bartesaghi,Milan,ITA,2025-2026,Centrocampista,19.0,2441,31.0,4.0,361.0,0.0,5.124948791478902,left,0.6636624334289225,0.5161818926669398,0.0737402703809914,193.0,0.5530520278574356,0.0,0.8709677419354839,1.2904547316673496,70,5,0.1442960417527661,0.0506649916974041,0.1106104055714871,22000000.0,35859333.836802594,0.6135083295223209,23640171.585583203,0.9306193028402785
Maxence Lacroix,Crystal Palace,ENG,2025-2026,Defensa,25.0,3085,35.0,6.0013689253935665,625.0,0.05834683954619124,0.1458670988654781,right,0.9918962722852511,0.5542949756888168,0.02917341977309562,190.0,1.312803889789303,0.0,1.0,1.1085899513776336,45,15,0.037542876375407416,0.08771965517760578,0.11669367909238249,50000000.0,58383377.40879474,0.856408145933471,53722672.511057645,0.9307057460648218
Yehor Yarmoliuk,Brentford,ENG,2025-2026,Centrocampista,21.0,2659,37.0,4.999315537303217,441.0,0.06769462203836028,1.0154193305754045,right,1.2523505077096653,0.4061677322301617,0.03384731101918014,180.0,0.947724708537044,0.0,0.8108108108108109,1.5569763068822866,53,9,,,0.236931177134261,32000000.0,54792677.69516853,0.5840196417854876,34284702.5337443,0.933360876283071
